                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0044,                0.99072,                 1.3003,                0.76254,                0.75458,                0.80598,                0.56304,                 1.0805,                 1.1491,                 1.4458,              0.0012847,              0.0012847,              0.0012847
                     53,                0.97765,                 1.0036,                 1.3231,                0.84472,                0.75555,                0.86647,                0.60945,                 1.0992,                 0.9421,                 1.4683,              0.0012819,              0.0012819,              0.0012819
                     54,                 1.0016,                0.97637,                 1.3155,                0.89805,                0.71863,                0.86596,                0.61291,                 1.0469,                0.90174,                 1.4203,               0.001279,               0.001279,               0.001279
                     55,                0.99358,                0.97636,                 1.3068,                0.83997,                0.77518,                0.86162,                0.59493,                 1.0307,                0.93537,                 1.3876,              0.0012762,              0.0012762,              0.0012762
                     56,                0.97475,                0.93413,                 1.2923,                 0.8099,                0.79016,                0.87275,                0.61106,                 1.0725,                0.86219,                 1.4466,              0.0012734,              0.0012734,              0.0012734
                     57,                0.99323,                0.94312,                 1.2888,                 0.8939,                0.72902,                0.85328,                0.62856,                 1.0213,                0.95494,                 1.4181,              0.0012706,              0.0012706,              0.0012706
                     58,                0.98997,                0.95157,                 1.3052,                0.82546,                0.77979,                0.86487,                0.58969,                 1.1617,                 1.0123,                 1.5667,              0.0012677,              0.0012677,              0.0012677
                     59,                0.93573,                0.91536,                 1.2677,                0.80292,                0.79802,                0.86147,                0.58878,                 1.0693,                0.96949,                 1.4855,              0.0012649,              0.0012649,              0.0012649
                     60,                0.96586,                0.93984,                 1.2766,                0.84306,                0.71653,                0.84284,                0.57725,                 1.0838,                 1.0204,                 1.4976,              0.0012621,              0.0012621,              0.0012621
                     61,                0.92428,                0.94951,                 1.2531,                0.79966,                0.81258,                0.88091,                0.61257,                 1.0854,                0.97004,                 1.4493,              0.0012592,              0.0012592,              0.0012592
                     62,                0.93722,                0.89609,                 1.2744,                0.82186,                 0.7825,                0.86931,                0.62484,                 1.0686,                0.88595,                  1.455,              0.0012564,              0.0012564,              0.0012564
                     63,                0.96748,                0.92964,                 1.2716,                0.88203,                0.81209,                0.87475,                0.59982,                 1.1837,                0.88299,                  1.548,              0.0012536,              0.0012536,              0.0012536
